carat,price,x,y,z,color_encoded
0.23,326.0,3.95,3.98,2.43,1
0.21,326.0,3.89,3.84,2.31,1
0.29,334.0,4.2,4.23,2.63,6
0.31,335.0,4.34,4.35,2.75,7
0.24,336.0,3.94,3.96,2.48,7
0.24,336.0,3.95,3.98,2.47,6
0.797822920133926,3933.022046909961,4.07,4.11,2.53,5
0.23,340.0,3.93,3.9,2.46,7
0.22,342.0,3.88,3.84,2.33,2
0.31,344.0,4.35,4.37,2.71,7
0.32,345.0,4.38,4.42,2.68,1
0.3,348.0,4.31,4.34,2.68,6
0.3,351.0,4.23,4.29,2.7,7
0.3,351.0,4.23,4.26,2.71,7
0.3,351.0,4.21,4.27,2.66,7
0.3,351.0,4.26,4.3,2.71,6
0.23,352.0,3.85,3.92,2.48,1
0.23,353.0,3.94,3.96,2.41,5
0.23,354.0,3.97,4.01,2.41,4
0.24,355.0,3.97,3.94,2.47,6
0.3,357.0,4.28,4.3,2.67,7
0.23,357.0,3.96,3.97,2.4,0
0.23,357.0,3.96,3.99,2.42,2
0.23,402.0,4.0,4.03,2.41,2
0.23,402.0,4.04,4.06,2.42,2
0.23,402.0,3.97,4.01,2.42,1
0.23,402.0,3.92,3.96,2.44,0
0.26,403.0,4.13,4.16,2.52,0
0.33,403.0,4.49,4.51,2.78,6
0.33,403.0,4.49,4.5,2.75,6
0.33,403.0,4.49,4.55,2.76,7
0.32,403.0,4.34,4.37,2.75,5
0.797822920133926,3933.022046909961,4.24,4.26,3.5382028642396954,4
0.32,403.0,4.35,4.42,2.71,5
0.32,403.0,4.36,4.38,2.79,5
0.25,404.0,4.0,4.03,2.54,1
0.29,404.0,4.33,4.37,2.64,5
0.797822920133926,404.0,5.731450800556568,4.03,2.45,4
0.23,404.0,3.93,3.95,2.44,4
0.32,404.0,4.45,4.48,2.72,6
0.22,404.0,3.93,3.89,2.41,1
0.3,405.0,4.3,4.33,2.63,6
0.3,405.0,4.25,4.28,2.67,6
0.3,405.0,4.28,4.32,2.71,6
0.3,405.0,4.25,4.29,2.7,6
0.35,552.0,4.54,4.59,2.78,6
0.797822920133926,552.0,4.23,4.27,3.5382028642396954,4
0.3,552.0,4.29,4.32,2.69,0
0.3,552.0,4.3,4.33,2.68,0
0.42,552.0,4.78,4.84,2.96,6
0.28,553.0,4.19,4.22,2.58,4
0.32,553.0,4.39,4.42,2.73,6
0.31,553.0,4.33,4.3,2.73,4
0.31,553.0,4.35,4.32,2.68,4
0.24,553.0,4.01,4.03,2.44,1
0.797822920133926,3933.022046909961,5.731450800556568,5.73451731535397,3.5382028642396954,8
0.3,554.0,4.29,4.27,2.7,5
0.3,554.0,4.28,4.24,2.68,5
0.3,554.0,4.29,4.25,2.67,5
0.3,554.0,4.28,4.26,2.72,5
0.26,554.0,4.15,4.23,2.51,1
0.26,554.0,4.08,4.13,2.56,0
0.26,554.0,4.01,4.05,2.53,0
0.26,554.0,4.06,4.09,2.55,1
0.26,554.0,4.0,4.04,2.55,1
0.26,554.0,4.03,4.12,2.53,0
0.26,554.0,4.02,4.06,2.54,1
0.38,554.0,4.65,4.67,2.87,6
0.24,554.0,3.95,3.92,2.45,4
0.24,554.0,4.01,3.96,2.44,5
0.24,554.0,4.02,4.0,2.44,5
0.24,554.0,4.07,4.04,2.46,5
0.32,554.0,4.35,4.33,2.73,6
0.7,2757.0,5.7,5.72,3.57,1
0.7,2757.0,5.7,5.67,3.5,4
0.71,2759.0,5.68,5.73,3.56,1
0.78,2759.0,5.81,5.85,3.72,4
0.797822920133926,3933.022046909961,5.77,5.73451731535397,3.56,1
0.8,2760.0,5.97,5.93,3.66,5
0.75,2760.0,5.8,5.75,3.65,0
0.75,2760.0,6.0,5.96,3.58,1
0.74,2760.0,5.8,5.85,3.59,4
0.75,2760.0,5.85,5.79,3.59,4
0.8,2760.0,5.94,5.87,3.72,6
0.75,2760.0,5.87,5.8,3.63,4
0.8,2760.0,5.9,5.81,3.69,4
0.74,2761.0,5.77,5.81,3.61,6
0.59,2761.0,5.38,5.43,3.35,1
0.8,2761.0,5.96,6.0,3.67,2
0.74,2761.0,5.8,5.84,3.62,1
0.9,2761.0,6.16,6.12,3.87,6
0.74,2762.0,5.73,5.82,3.59,4
0.73,2762.0,5.77,5.74,3.6,2
0.797822920133926,2762.0,5.731450800556568,5.75,3.62,2
0.8,2762.0,5.98,5.94,3.68,2
0.797822920133926,3933.022046909961,5.731450800556568,5.73451731535397,3.58,4
0.7,2762.0,5.73,5.76,3.49,1
0.8,2762.0,6.01,6.07,3.62,2
0.71,2762.0,5.73,5.69,3.56,0
0.797822920133926,2762.0,5.731450800556568,5.83,3.5382028642396954,4
0.7,2762.0,5.65,5.59,3.46,2
0.91,2763.0,6.09,5.97,3.7,5
0.797822920133926,3933.022046909961,5.731450800556568,5.99,3.95,5
0.797822920133926,2763.0,5.731450800556568,5.86,3.5382028642396954,4
0.71,2764.0,5.64,5.68,3.6,0
0.71,2764.0,5.69,5.72,3.53,0
0.7,2765.0,5.62,5.65,3.53,1
0.77,2765.0,5.88,5.9,3.61,5
0.63,2765.0,5.52,5.55,3.5382028642396954,4
0.71,2765.0,5.69,5.73,3.53,2
0.76,2765.0,5.88,5.91,3.61,5
0.64,2766.0,5.53,5.56,3.43,4
0.71,2766.0,5.78,5.75,3.51,4
0.71,2766.0,5.89,5.81,3.5,4
0.7,2767.0,5.68,5.72,3.52,0
0.7,2767.0,5.8,5.87,3.5,2
0.71,2767.0,5.74,5.76,3.54,0
0.71,2768.0,5.52,5.61,3.52,4
0.73,2768.0,5.83,5.87,3.52,0
0.7,2768.0,5.66,5.73,3.48,0
0.7,2768.0,5.73,5.76,3.5,1
0.71,2768.0,5.71,5.67,3.51,0
0.74,2769.0,5.82,5.86,3.57,6
0.71,2770.0,5.65,5.61,3.52,0
0.73,2770.0,5.83,5.76,3.56,4
0.76,2770.0,5.79,5.81,3.65,2
0.76,2770.0,5.78,5.83,3.62,0
0.71,2770.0,5.77,5.8,3.51,2
0.73,2770.0,5.87,5.82,3.55,4
0.73,2770.0,5.79,5.75,3.55,4
0.73,2770.0,5.92,5.89,3.54,0
0.72,2771.0,5.81,5.83,3.51,5
0.73,2771.0,5.79,5.82,3.58,2
0.71,2771.0,5.73,5.77,3.56,4
0.79,2771.0,5.97,5.92,3.68,2
0.73,2772.0,5.83,5.89,3.54,5
0.8,2772.0,6.01,6.03,3.67,2
0.58,2772.0,5.39,5.44,3.33,4
0.58,2772.0,5.33,5.37,3.3,2
0.797822920133926,3933.022046909961,5.731450800556568,5.89,3.5382028642396954,9
1.17,2774.0,6.83,6.9,4.13,7
0.6,2774.0,5.41,5.44,3.35,1
0.7,2774.0,5.68,5.74,3.58,1
0.74,2775.0,5.8,5.84,3.57,2
0.72,2776.0,5.62,5.69,3.61,4
0.71,2776.0,5.74,5.68,3.58,1
0.797822920133926,2776.0,5.731450800556568,5.62,3.55,3
0.54,3933.022046909961,5.731450800556568,5.27,3.24,1
0.797822920133926,2776.0,5.731450800556568,5.73451731535397,3.5382028642396954,9
0.72,2776.0,5.72,5.75,3.55,4
0.72,2776.0,5.79,5.82,3.53,4
0.71,2776.0,5.8,5.76,3.5,4
0.7,2777.0,5.66,5.73,3.57,0
0.797822920133926,2777.0,5.731450800556568,5.73451731535397,3.5382028642396954,4
0.71,2777.0,5.64,5.69,3.56,2
0.71,2777.0,5.61,5.64,3.59,2
0.7,2777.0,5.7,5.67,3.53,1
0.7,2777.0,5.71,5.64,3.47,1
0.7,2777.0,5.79,5.75,3.46,1
0.7,2777.0,5.73,5.68,3.49,1
0.7,2777.0,5.67,5.63,3.54,1
0.7,2777.0,5.73,5.68,3.48,1
0.7,2777.0,5.78,5.72,3.51,1
0.7,2777.0,5.76,5.7,3.52,1
0.797822920133926,2777.0,5.82,5.73451731535397,3.56,2
0.7,2777.0,5.731450800556568,5.68,3.5382028642396954,4
0.7,2777.0,5.77,5.74,3.48,1
0.78,2777.0,5.83,5.8,3.63,2
0.7,2777.0,5.6,5.51,3.51,1
0.52,2778.0,5.19,5.22,3.19,2
0.73,2779.0,5.82,5.84,3.55,5
0.74,2779.0,5.84,5.8,3.59,1
0.7,2780.0,5.61,5.65,3.58,2
0.77,2780.0,5.9,5.93,3.62,4
0.71,2780.0,5.68,5.72,3.54,2
0.74,2780.0,5.81,5.86,3.59,4
0.7,2780.0,5.64,5.73,3.49,4
1.01,2781.0,6.39,6.36,3.5382028642396954,2
0.77,2781.0,5.83,5.88,3.64,5
0.78,3933.022046909961,5.92,5.73451731535397,3.64,4
0.76,2782.0,5.9,5.94,3.63,4
0.7,2782.0,5.62,5.54,3.51,1
0.75,2782.0,5.78,5.73,3.63,0
0.72,2782.0,5.76,5.75,3.5,0
0.72,2782.0,5.73,5.69,3.58,0
0.797822920133926,3933.022046909961,5.68,5.73451731535397,3.5382028642396954,0
0.797822920133926,2782.0,5.731450800556568,6.2,3.5382028642396954,4
0.75,2782.0,5.88,5.85,3.6,2
0.52,2783.0,5.14,5.18,3.21,2
0.72,2784.0,5.69,5.73,3.6,2
0.79,2784.0,5.85,5.92,3.75,5
0.72,2787.0,5.66,5.69,3.61,2
0.51,2787.0,5.11,5.15,3.18,2
0.64,2787.0,5.54,5.55,3.41,0
0.7,2788.0,5.74,5.77,3.48,5
0.83,2788.0,6.07,6.1,3.72,6
0.76,2788.0,5.85,5.87,3.62,6
0.71,2788.0,5.64,5.68,3.58,0
0.71,2788.0,5.71,5.65,3.55,2
1.01,2788.0,6.31,6.22,3.93,5
0.76,2789.0,5.76,5.85,3.7,1
0.76,2789.0,5.92,5.94,3.58,1
0.76,2789.0,5.82,5.86,3.61,1
1.05,2789.0,6.49,6.45,4.09,7
0.81,2789.0,5.97,6.01,3.69,4
0.7,2789.0,5.72,5.75,3.53,1
0.55,2789.0,5.28,5.3,3.22,4
0.81,2789.0,5.94,5.99,3.64,4
0.63,2789.0,5.48,5.41,3.38,1
0.63,2789.0,5.55,5.52,3.37,1
0.77,2789.0,5.9,5.88,3.61,5
0.64,2790.0,5.54,5.58,3.41,4
0.83,2790.0,5.731450800556568,6.05,3.76,3
0.71,2790.0,5.73,5.69,3.53,2
0.87,2791.0,6.07,6.1,3.87,6
0.73,2791.0,5.74,5.78,3.58,1
0.71,2792.0,5.7,5.75,3.54,1
0.797822920133926,3933.022046909961,5.72,5.77,3.5382028642396954,1
0.7,2792.0,5.71,5.65,3.53,2
0.7,2792.0,5.78,5.75,3.5,2
0.797822920133926,3933.022046909961,5.73,5.68,3.55,2
0.79,2793.0,5.731450800556568,6.06,3.5382028642396954,9
0.7,2793.0,5.66,5.69,3.57,1
0.797822920133926,2793.0,5.87,5.91,3.5382028642396954,8
0.73,2793.0,5.72,5.76,3.6,5
0.79,2794.0,5.91,5.86,3.72,1
0.71,2795.0,5.81,5.82,3.53,1
0.81,2795.0,5.91,5.86,3.64,6
0.81,2795.0,5.92,5.96,3.72,2
0.72,2795.0,5.74,5.72,3.48,2
0.72,3933.022046909961,5.731450800556568,5.69,3.5382028642396954,4
0.72,2795.0,5.72,5.7,3.6,6
0.72,2795.0,5.73,5.65,3.58,4
0.73,2796.0,5.7,5.76,3.62,1
0.797822920133926,2797.0,5.94,5.73451731535397,3.5382028642396954,5
0.81,2797.0,6.07,6.1,3.67,1
0.71,2797.0,5.67,5.71,3.57,0
0.71,2797.0,5.73,5.75,3.52,0
0.71,2797.0,5.74,5.69,3.52,0
0.57,2797.0,5.34,5.35,3.31,2
0.51,2797.0,5.12,5.16,3.17,0
0.72,2797.0,5.72,5.75,3.55,4
0.74,2797.0,5.77,5.81,3.58,5
0.74,2797.0,5.81,5.82,3.58,5
0.8,2797.0,6.03,6.01,3.67,2
0.8,2797.0,5.92,5.82,3.72,5
0.77,2798.0,5.87,5.91,3.62,6
0.797822920133926,2799.0,5.731450800556568,6.25,3.61,1
0.82,2799.0,5.97,6.02,3.74,2
0.78,2799.0,5.91,5.86,3.64,0
0.6,2800.0,5.43,5.46,3.35,4
0.9,2800.0,6.07,6.11,3.79,6
0.7,2800.0,5.6,5.66,3.5,1
0.9,2800.0,6.17,6.23,3.8,6
0.83,2800.0,5.99,6.08,3.76,4
0.83,2800.0,6.03,6.07,3.74,4
0.83,2800.0,5.95,6.02,3.74,5
0.74,2800.0,5.74,5.68,3.59,4
